id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,ANOS_ESPACIO,Anomaly_Score,Group
212958612,600000,0.0,0.0,30000,13,1,3,4,0.052550136097207684,Normal
212961012,3000000,0.0,0.0,1500000,13,1,4,4,0.04683092575643524,Normal
213019112,1000000,0.0,0.0,658000,15,1,3,1,0.020228959146790845,Normal
213021011,1800000,1.0,0.0,1056000,15,1,3,5,0.02463888005067911,Normal
213056411,500000,0.0,0.0,300,17,1,3,5,0.04992463936070454,Normal
213057512,600000,0.0,0.0,150000,17,1,3,3,0.04262291164846897,Normal
213062811,1650000,0.0,0.0,1000000,17,1,3,5,0.05155989253875328,Normal
213068911,1350000,0.0,90000.0,960000,17,1,3,5,0.04453715374198064,Normal
213070511,2640000,0.0,0.0,1440000,17,1,3,5,0.048355204117419455,Normal
213076112,3600000,0.0,0.0,2400000,17,1,3,2,0.029100370229598826,Normal
213097611,360000,0.0,0.0,150000,17,1,3,5,0.05024207645035609,Normal
213106911,700000,0.0,0.0,0,17,1,4,5,0.0352776839780662,Normal
213128911,1200000,0.0,0.0,670000,17,1,3,5,0.052852309101972236,Normal
213147711,1820000,0.0,0.0,1120000,17,1,4,1,0.025334485285537698,Normal
213148811,3700000,0.0,0.0,3040000,17,1,3,5,0.04084755145301379,Normal
213173311,2000000,0.0,0.0,39000,18,1,3,5,0.04631554248136847,Normal
213182411,216000,0.0,0.0,156000,18,1,4,1,0.021816583792013247,Normal
213208514,11200000,0.0,0.0,6245000,18,1,3,4,0.006627824772811864,Normal
213216811,5200000,0.0,0.0,3400000,18,1,3,5,0.03230957387725521,Normal
213220311,1227200,0.0,0.0,2210000,19,1,3,5,0.039019752726955334,Normal
213241311,1969444,0.0,0.0,1730000,19,1,3,5,0.04134662118365407,Normal
213248211,1800000,0.0,0.0,1100000,19,1,4,4,0.033972861744278784,Normal
213271211,750000,0.0,0.0,508000,19,1,4,5,0.034525688084808825,Normal
213303412,300000,0.0,0.0,300000,20,1,3,5,0.037357124643939886,Normal
213317511,1000000,0.0,0.0,0,20,1,3,4,0.0381880958858426,Normal
213319011,1500000,0.0,0.0,1010000,20,1,4,3,0.039512804947509646,Normal
213326311,2400000,1.0,360000.0,1200000,20,1,4,5,0.017321220886694074,Normal
213328416,800000,0.0,0.0,440000,20,1,2,3,-0.011604644789619006,Outlier
213340711,2500000,0.0,0.0,1858000,20,1,4,5,0.03797514394606216,Normal
213345111,700000,0.0,0.0,300000,20,1,4,3,0.038174588293201,Normal
213346111,900000,0.0,0.0,200000,20,1,3,1,0.024803337629846014,Normal
213349314,6000000,1.0,900000.0,3000000,20,1,4,2,-0.01392555257970051,Outlier
213365611,5000000,1.0,100000.0,3400000,23,1,3,2,0.006424212938258917,Normal
213367415,400000,0.0,0.0,65000,23,1,4,5,0.02992070278379875,Normal
213367511,900000,0.0,0.0,310000,23,1,3,5,0.03853323627668877,Normal
213426211,2850000,0.0,0.0,1539000,27,1,4,2,0.021137241931225032,Normal
