id,VENTAS_MES_ANTERIOR,POTTOT,REMUNERACION_TOTAL,CYG,COD_DEPTO,CPAM,GRUPOS4,UBICA,IDRUT,REG_CONT,CAMCOMER,Anomaly_Score,Group
703514411,6600000,5.0,5330000.0,537000,68,1,4,1,1,3,1,-0.0023412385840635617,Outlier
703514511,2000000,0.0,0.0,1035000,68,1,2,1,1,3,1,0.02111177519654412,Normal
703514612,18500000,4.0,6000000.0,10690000,68,1,4,1,1,2,1,-0.02796305909199842,Outlier
703514812,3100000,0.0,0.0,2285000,68,1,3,3,0,3,0,0.0648243304309502,Normal
703515011,16680000,1.0,0.0,10515000,68,1,3,1,1,3,1,0.04018384849046605,Normal
703515022,300000,0.0,0.0,0,68,1,2,1,0,4,0,0.024210997435595825,Normal
703515211,400000,0.0,0.0,24000,68,1,4,1,0,4,0,0.04970745616643388,Normal
703517611,500000,0.0,0.0,5000,68,1,4,1,0,4,0,0.04985140580816282,Normal
703518011,2700000,0.0,0.0,1620000,68,1,4,1,1,2,1,0.026157654393425225,Normal
703518211,1000000,0.0,0.0,100000,68,1,3,3,0,4,0,0.06947315012956909,Normal
703518214,3000000,0.0,0.0,2082000,68,1,3,1,1,3,1,0.05801065296331541,Normal
703521311,2450000,0.0,0.0,1495000,68,1,3,3,0,3,0,0.06644881307794592,Normal
703524312,1350000,0.0,0.0,735000,68,1,4,1,0,3,0,0.0499354257001309,Normal
703527811,700000,0.0,0.0,312000,70,1,4,3,0,4,0,0.07003512010901154,Normal
703528511,3000000,0.0,0.0,1560000,70,1,3,1,0,3,0,0.05003123567475454,Normal
703530811,1000000,0.0,0.0,310000,70,1,4,3,0,4,0,0.06990816998943591,Normal
703530812,100000,0.0,0.0,46610,70,1,4,3,0,4,0,0.06903895154197176,Normal
703531213,1800000,1.0,0.0,1165000,70,1,3,3,0,4,0,0.06482273269336784,Normal
703535514,800000,0.0,0.0,1300000,70,1,3,1,1,3,0,0.04872025035291259,Normal
703536012,50000,0.0,0.0,100000,70,1,4,3,0,4,0,0.06923407597443607,Normal
703536811,450000,0.0,0.0,200000,70,1,3,3,0,2,0,0.020004905801555353,Normal
703543211,250000,0.0,0.0,150000,70,1,3,3,0,4,0,0.0719977673333947,Normal
703543313,2000000,0.0,0.0,950000,70,1,2,3,0,4,0,0.046022073604106734,Normal
703544511,1200000,0.0,0.0,3028000,70,1,4,3,0,4,0,0.06362619016253818,Normal
703548011,2400000,1.0,0.0,840000,73,1,3,3,1,2,1,0.01681691164217428,Normal
703548911,2300000,0.0,0.0,2312213,73,1,2,1,1,4,1,0.00612699807308124,Normal
703549811,1800000,0.0,285000.0,460000,73,1,4,3,0,3,0,0.0498681197611387,Normal
703554912,500000,0.0,0.0,175000,73,1,3,3,0,3,0,0.061735231079486114,Normal
703557211,2800000,0.0,0.0,2600000,73,1,2,3,0,3,0,0.03172274975357138,Normal
703557512,1900000,0.0,118000.0,1684900,73,1,3,1,1,4,1,0.03610064339469746,Normal
703557611,1000000,0.0,0.0,800000,73,1,3,1,1,4,0,0.04654051612925115,Normal
703560012,1200000,0.0,0.0,300000,73,1,3,3,0,3,0,0.06255815940434761,Normal
703560311,5000000,0.0,285000.0,3390000,73,1,2,3,0,3,0,0.025506489662561187,Normal
703560411,4000000,1.0,0.0,2270000,73,1,3,3,0,3,0,0.05559167441455701,Normal
703561811,9140000,0.0,350000.0,7190000,76,1,3,1,1,1,1,0.0028121755350408173,Normal
703562911,1700000,0.0,0.0,920000,76,0,4,3,1,3,0,0.03828353475984476,Normal
703564512,1446470,2.0,841789.0,1859235,76,1,4,1,1,2,1,0.011197054428145146,Normal
703566413,2900000,2.0,0.0,4400000,76,1,3,1,1,3,0,0.04264159955802828,Normal
703566616,820000,0.0,0.0,670000,76,0,3,3,0,4,0,0.058504901001185404,Normal
703566911,1953391,0.0,290600.0,540000,76,1,3,1,1,2,1,0.02629858304591841,Normal
703567312,700000,0.0,0.0,535000,76,1,4,3,0,3,0,0.05559492226442212,Normal
703567911,5305000,0.0,0.0,1305000,76,1,4,1,1,2,1,0.017738931104162938,Normal
703570311,12500000,3.0,1840000.0,9268998,76,1,2,1,1,4,1,-0.03336864297389252,Outlier
703576912,2300000,0.0,325000.0,1775000,76,1,3,3,1,2,1,0.015335705379884244,Normal
703578612,1180869,0.0,0.0,680114,76,1,3,3,0,4,0,0.06372499096315705,Normal
703579411,500000,0.0,0.0,265000,76,1,3,3,0,4,0,0.06353705419581794,Normal
703579711,13000000,2.0,352000.0,10304887,76,1,3,1,1,2,1,0.01157670309939867,Normal
703581313,850000,1.0,0.0,250000,76,1,4,3,0,3,0,0.05018533468484578,Normal
703581511,600000,0.0,0.0,173884,76,1,4,3,1,3,0,0.04821654980217616,Normal
703584411,700000,0.0,0.0,450000,76,1,3,3,0,4,0,0.06374909560279807,Normal
703584811,1200000,0.0,0.0,640000,76,1,3,3,1,3,0,0.05705448318251749,Normal
703606011,2500000,0.0,0.0,1110000,88,1,3,1,0,4,0,0.043262232868950944,Normal
703606313,7000000,1.0,1450000.0,5330000,88,1,4,1,1,2,1,0.0014338829690399508,Normal
703606911,36000000,4.0,4940000.0,23246500,88,1,4,1,1,2,1,-0.05771099504637784,Outlier
703609213,4000000,0.0,0.0,4155000,88,1,3,1,1,3,1,0.03958420199082358,Normal
703612611,1487500,2.0,4645142.0,37900000,88,1,3,1,1,1,1,-0.038795133050024876,Outlier
703613312,3500000,1.0,294000.0,2406000,88,1,4,1,1,2,1,0.00928999268824316,Normal
703614111,5000000,1.0,2093000.0,3880000,88,1,4,1,1,2,1,0.0020189880370119423,Normal
703614211,1487500,3.0,7750713.0,13248750,88,1,3,1,1,1,1,-0.03561687389732173,Outlier
703615312,30000000,6.0,14057526.0,19787000,88,1,2,1,1,2,1,-0.10128904334100285,Outlier
703616811,130000000,8.0,22726568.0,95150000,88,1,3,1,1,1,1,-0.11916663739055143,Outlier
703636212,1400000,0.0,130000.0,805000,5,0,3,3,1,4,0,0.04350802076170552,Normal
703636411,2800000,0.0,0.0,2059000,5,0,3,1,1,4,0,0.0383619989823615,Normal
703638711,160000,1.0,0.0,86000,5,0,2,3,0,4,0,0.021719182018265268,Normal
703640712,1000000,0.0,0.0,452000,5,0,3,3,0,4,0,0.0574499394232343,Normal
703643411,2268205,1.0,0.0,991551,5,1,3,1,1,2,1,0.029031815916480505,Normal
703644011,300000,0.0,0.0,200000,5,1,2,3,0,4,0,0.04096579471514454,Normal
703645411,2268205,0.0,301214.0,1006152,5,1,3,1,1,3,0,0.05382633132373727,Normal
703645811,7000000,0.0,300000.0,3200000,5,1,3,1,1,4,0,0.04084197924720861,Normal
703646211,1689166,0.0,320300.0,4420000,5,1,4,1,1,3,0,0.0392635571504453,Normal
703657612,120000,0.0,0.0,40000,19,1,3,3,0,3,0,0.05823389071024376,Normal
703659511,1239642,0.0,0.0,838714,19,1,3,3,0,4,0,0.06571949393308957,Normal
703661011,1800000,1.0,125000.0,2890000,19,1,4,1,1,2,1,0.019740884995483623,Normal
703661511,500000,3.0,0.0,3370000,19,1,4,1,1,1,1,-0.007426082214846326,Outlier
703661713,2100000,1.0,638500.0,100000,19,1,2,3,0,4,0,0.024930227477132565,Normal
703666911,4500000,1.0,400000.0,3896000,20,1,2,3,0,4,0,0.009266748124225559,Normal
703667611,3900000,0.0,0.0,3260000,20,1,3,3,1,4,1,0.025080308120574588,Normal
703668311,1200000,1.0,0.0,600000,20,1,4,3,0,3,0,0.03539890202444387,Normal
703670612,200000,0.0,0.0,216000,20,1,4,3,0,4,0,0.04758561028569504,Normal
703672411,8571429,3.0,363000.0,6312000,20,1,3,1,1,3,1,0.020759587209009486,Normal
703673411,2368437,0.0,0.0,2249583,20,1,3,1,1,3,1,0.03736791882651008,Normal
703674411,19400000,0.0,0.0,17490000,20,1,3,1,1,3,1,0.016938068817285174,Normal
703675211,3000000,1.0,0.0,1835000,20,1,4,1,1,2,1,0.004544951752689461,Normal
703676611,1120000,0.0,0.0,825309,20,1,4,3,0,4,0,0.04811727351199943,Normal
703676911,1400000,0.0,0.0,750000,20,1,2,3,0,2,0,-0.023855664078107845,Outlier
703683712,9120000,0.0,0.0,7680000,20,1,4,1,0,4,0,0.014322717321705987,Normal
703686211,400000,0.0,0.0,20000,23,1,4,3,0,4,0,0.060714405251446335,Normal
703687111,900000,1.0,290300.0,120000,23,1,3,1,0,3,0,0.045179046257954505,Normal
703687514,300000,0.0,0.0,80000,23,1,4,3,0,4,0,0.06087461224435723,Normal
703691711,900000,0.0,0.0,550000,23,1,3,3,0,3,0,0.05909899722536879,Normal
703692512,2400000,0.0,0.0,1600000,23,1,3,3,0,4,0,0.06113887196814269,Normal
703695311,85714286,3.0,4333104.0,67550000,23,1,3,1,1,2,1,-0.05145441813229176,Outlier
703697911,600000,0.0,290300.0,290000,23,1,3,3,0,4,0,0.05655016703893369,Normal
703699911,500000,0.0,0.0,355000,27,1,4,3,0,4,0,0.06273100760437232,Normal
703701111,300000,0.0,0.0,88000,27,1,2,3,0,4,0,0.044296451523772276,Normal
703708011,500000,0.0,0.0,240000,47,1,4,3,0,4,0,0.07848367244972493,Normal
703709112,360000,1.0,0.0,300000,50,1,3,3,0,4,0,0.0658357532351901,Normal
703709412,1100000,0.0,0.0,530000,50,1,4,3,0,4,0,0.06638601600173263,Normal
703709511,5000000,0.0,290000.0,2790000,50,1,2,3,1,1,1,-0.03393839759330734,Outlier
703711312,1300000,0.0,0.0,730000,50,1,3,3,0,4,0,0.07323456209725841,Normal
703711712,1868125,1.0,120000.0,3375598,50,1,3,1,1,4,1,0.039766919732514276,Normal
703712511,1100000,0.0,0.0,615000,52,0,3,3,1,3,0,0.05995763781239592,Normal
703713812,1670000,0.0,0.0,870000,52,1,4,1,1,3,1,0.056424867103931034,Normal
703714512,4000000,0.0,340000.0,614000,66,1,4,1,1,2,1,0.026495474778764808,Normal
703715911,2600000,0.0,0.0,1830000,66,1,3,1,1,2,1,0.038843681409150586,Normal
703717011,4300000,0.0,0.0,2285000,66,1,4,1,1,2,1,0.026888931921318835,Normal
703718711,1300000,0.0,0.0,900000,66,1,4,3,0,3,0,0.056004265996900796,Normal
703723011,2500000,0.0,65000.0,1760000,68,1,3,1,1,4,0,0.05103521310592915,Normal
703723211,2300000,0.0,0.0,1350000,68,1,2,1,1,4,0,0.020930820158040448,Normal
703723411,2000000,0.0,0.0,1005000,68,1,3,3,0,3,0,0.06695339763691512,Normal
703724711,1200000,0.0,0.0,698000,68,0,4,3,0,4,0,0.056443214005849535,Normal
703726611,3500000,1.0,800000.0,9500000,68,1,3,1,1,3,0,0.04393416841439804,Normal
703732811,1130000,0.0,0.0,430000,76,0,3,1,0,4,0,0.04599570380581504,Normal
703734612,4300000,1.0,400000.0,3320000,76,0,3,1,1,3,1,0.03587478184034525,Normal
703736211,850000,0.0,0.0,440000,76,1,4,1,0,4,0,0.04671817999387333,Normal
703737811,1000000,0.0,0.0,300000,76,1,2,3,0,3,0,0.03295334490333384,Normal
703738112,1180869,0.0,0.0,767787,76,1,3,1,1,2,1,0.027188461360255347,Normal
703760611,5000000,1.0,1535220.0,1850000,66,0,4,1,1,2,1,0.0018326204383224225,Normal
703760612,6000000,1.0,1535220.0,2330000,66,0,4,1,1,2,1,0.0010759541634414419,Normal
703761811,2400000,1.0,0.0,900000,66,0,2,3,0,3,0,0.019244485442603345,Normal
703764111,1000000,0.0,0.0,160000,5,1,2,1,0,4,0,0.02192549759257096,Normal
703764511,1185000,1.0,300000.0,343576,5,1,4,1,1,3,0,0.041226838217440914,Normal
703764611,1150000,0.0,0.0,1078000,5,1,4,1,0,3,0,0.040835409351886974,Normal
703764615,25000,0.0,0.0,16226,5,1,4,3,0,4,0,0.059224947705789246,Normal
703765812,1400000,0.0,0.0,580000,5,1,3,3,0,3,0,0.058402540823312005,Normal
703765911,500000,0.0,0.0,270000,5,1,4,3,0,4,0,0.06001529593805539,Normal
703766111,5000000,0.0,300000.0,3350000,5,1,3,1,1,4,0,0.042443067018605334,Normal
703766311,3200000,0.0,0.0,1500000,5,1,4,3,0,4,0,0.057808840139691946,Normal
703767912,320000,0.0,0.0,200000,5,1,3,3,0,3,0,0.056954653495331985,Normal
703768511,1500000,0.0,301214.0,930000,5,1,3,1,1,3,0,0.05352392876402249,Normal
703771114,12000000,1.0,1730000.0,5280000,5,1,4,3,1,3,0,0.017321897600608687,Normal
703774611,2268205,0.0,0.0,1006152,5,1,3,1,0,3,0,0.051681655164552004,Normal
703776413,1500000,0.0,0.0,800000,5,1,2,1,1,3,1,0.018738133307732528,Normal
703777312,3000000,0.0,0.0,2150000,5,1,3,3,1,4,0,0.053816280947445484,Normal
703783211,3000000,0.0,0.0,2210000,15,1,3,3,1,3,1,0.04985525303417058,Normal
703783811,2500000,0.0,280000.0,1575000,15,1,3,3,1,4,1,0.037838305150703605,Normal
703784111,8000000,0.0,0.0,6770000,15,1,3,1,1,4,1,0.034986570116909615,Normal
703785011,2500000,1.0,0.0,2000000,15,1,3,1,1,2,1,0.03286504046508185,Normal
703786312,1950000,0.0,0.0,932000,17,1,3,1,1,4,0,0.04995294981021283,Normal
703787911,580000,0.0,290000.0,370000,17,1,4,3,0,4,0,0.05610128571271338,Normal
703788512,200000,0.0,0.0,120000,17,1,4,3,0,4,0,0.06161223445964232,Normal
703793213,1400000,0.0,0.0,558000,18,1,3,1,1,4,1,0.043994372274902244,Normal
703794411,1300000,0.0,0.0,520000,18,1,4,1,0,4,0,0.05738015564969379,Normal
703795712,1800000,2.0,0.0,1015000,19,1,4,3,0,3,0,0.04433720238411994,Normal
703798811,1239642,3.0,2190945.0,1011428,19,1,3,1,1,1,1,-0.004991662613460136,Outlier
703803211,800000,0.0,0.0,350000,20,1,4,3,0,3,0,0.03795169981762151,Normal
703805611,2200000,0.0,0.0,1830000,23,1,3,3,1,3,0,0.05287955402617734,Normal
703806011,5100000,1.0,0.0,4480000,23,1,3,3,1,3,0,0.045581896625067356,Normal
703806212,1000000,0.0,0.0,220000,23,1,4,3,0,4,0,0.06125044889114949,Normal
703809011,500000,0.0,0.0,0,27,1,2,3,0,4,0,0.0445588887362218,Normal
703813612,1500000,0.0,0.0,445300,27,1,4,1,0,3,0,0.03988041973135172,Normal
703816013,2100000,0.0,0.0,1711000,27,1,3,1,0,4,0,0.05342232277610946,Normal
703818512,500000,0.0,0.0,3045000,27,1,3,3,0,4,0,0.062053732009396075,Normal
703819211,350000,0.0,0.0,100000,27,1,4,3,0,4,0,0.06208637194930392,Normal
703820111,1200000,0.0,0.0,1200000,27,1,3,1,0,4,0,0.0546498084441113,Normal
703824011,1792000,0.0,0.0,1292000,44,1,4,3,0,4,0,0.07142727368679845,Normal
703824211,2300000,0.0,0.0,1900000,44,1,3,3,0,4,0,0.07494661975850342,Normal
703826612,1100000,0.0,0.0,430000,47,1,3,1,0,4,0,0.06976654426843257,Normal
703828211,16500000,1.0,0.0,14945000,47,1,3,3,0,3,0,0.042591087804293486,Normal
703829411,120000,0.0,0.0,10000,47,1,4,3,0,4,0,0.07734501806119358,Normal
703831512,3500000,2.0,900000.0,1320000,50,1,3,3,1,3,1,0.03933377448832261,Normal
703831911,500000,1.0,0.0,274000,50,1,3,3,1,4,1,0.04288195181808808,Normal
703836211,240000,0.0,0.0,509000,50,1,4,3,0,4,0,0.06579893555362563,Normal
703840511,3000000,0.0,0.0,1936000,52,1,2,3,0,3,0,0.045662668361551285,Normal
703841511,750000,6.0,18105000.0,5224491,52,1,2,1,1,3,1,-0.038350519781550046,Outlier
703841512,30000000,6.0,20010000.0,18710000,52,1,2,1,1,3,1,-0.0626958883476098,Outlier
703843611,9200000,0.0,0.0,8450000,54,1,3,3,1,3,1,0.04252826719318043,Normal
703844511,1300000,1.0,0.0,1165000,54,1,3,3,0,3,0,0.06232186344414951,Normal
703849111,40000,0.0,0.0,23000,54,1,4,3,0,4,0,0.061354153438258306,Normal
703849411,3000000,0.0,0.0,2400000,54,1,3,1,0,4,0,0.054789032472602084,Normal
703853911,1800000,0.0,0.0,1200000,63,1,3,3,0,4,0,0.07159565505558788,Normal
703854211,780000,0.0,0.0,530000,63,1,3,3,1,4,0,0.06109451686814887,Normal
703859711,1000000,0.0,0.0,260000,66,1,3,1,0,4,0,0.055831177590385694,Normal
703860911,3000000,0.0,0.0,2024000,66,1,3,3,1,2,1,0.02811181922049862,Normal
703863812,3700000,0.0,0.0,2830000,66,1,3,3,1,2,1,0.026914455445097837,Normal
703864711,3400000,0.0,145000.0,1250000,66,1,3,1,1,2,1,0.03880304615891114,Normal
703865011,700000,0.0,0.0,120000,66,1,4,3,0,4,0,0.06392231819208483,Normal
703866211,1300000,0.0,0.0,680000,68,1,4,3,0,4,0,0.06466486194654217,Normal
703867112,590000,1.0,0.0,490000,68,1,3,3,0,4,0,0.06219406385187019,Normal
703868311,16000000,6.0,16190000.0,7020000,68,1,2,1,1,2,1,-0.073086625182401,Outlier
703868511,5000000,0.0,0.0,4270000,68,1,2,3,1,4,1,0.005477439996582321,Normal
703868612,3500000,0.0,145000.0,3365000,68,1,3,1,1,3,1,0.055465546625314985,Normal
703870314,900000,0.0,0.0,430000,68,1,3,3,1,4,1,0.04372894617937897,Normal
703871111,11700000,2.0,98000.0,8600000,68,1,4,1,1,4,1,0.0037962618992884198,Normal
703872011,1300000,0.0,0.0,145000,68,1,4,3,1,3,0,0.04972005687823329,Normal
703873411,3000000,1.0,0.0,1147000,68,1,4,3,0,3,0,0.05076849933381756,Normal
703873911,25000000,0.0,290000.0,20140000,68,1,3,1,1,2,1,0.008706239876360588,Normal
703875211,7100000,0.0,302000.0,5875000,68,1,3,1,1,2,1,0.03364828190912828,Normal
703875612,3800000,1.0,0.0,1290000,68,1,2,1,1,3,1,0.019333241109414447,Normal
703877112,14000000,1.0,0.0,10352000,68,1,4,1,1,3,1,0.026372595313671945,Normal
703877611,15200000,4.0,10850000.0,8090000,68,1,2,1,1,1,1,-0.0701871698209755,Outlier
703881312,5000000,0.0,285000.0,2620000,73,1,2,3,1,2,1,-0.01873747052175178,Outlier
703882111,1860000,0.0,0.0,1160000,76,0,4,1,0,3,0,0.038674280528907735,Normal
703884111,1650000,0.0,0.0,1250000,76,1,3,3,0,3,0,0.0640737261976006,Normal
703889411,142857143,6.0,17166996.0,114961000,88,1,4,1,1,1,1,-0.1300659168841951,Outlier
703902014,2500000,0.0,0.0,2049000,8,0,2,1,0,3,0,0.008853483384169802,Normal
703902812,600000,0.0,0.0,430000,8,0,4,3,0,3,0,0.04584179764976601,Normal
703903211,4000000,0.0,0.0,3154000,8,0,3,1,0,4,0,0.04555850104707382,Normal
703903311,16000000,1.0,1200000.0,12850000,8,0,3,1,1,3,1,0.02170632452182763,Normal
703903511,3600000,3.0,280000.0,2179000,8,0,4,3,0,3,0,0.017974183271482497,Normal
703903611,4500000,1.0,360000.0,3200000,8,0,3,1,1,3,0,0.03950988679650177,Normal
703904012,2400000,2.0,0.0,2280000,8,0,4,3,0,4,0,0.040537551763308685,Normal
703906611,1900000,0.0,0.0,900000,13,0,3,3,0,4,0,0.06266342684791625,Normal
703906911,650000,0.0,0.0,300000,13,0,3,3,0,4,0,0.06417137858738668,Normal
703916611,8500000,2.0,605000.0,6010000,15,0,2,1,0,4,0,-0.014419930505986592,Outlier
703918511,9000000,3.0,2640000.0,5142000,15,0,4,1,1,3,1,0.00859676231461297,Normal
703918711,30000,0.0,0.0,4000,15,0,4,3,0,4,0,0.05230901710514129,Normal
703919111,7000000,1.0,300000.0,5360000,15,0,3,1,1,4,1,0.020663302560073586,Normal
703921011,25000000,2.0,1800000.0,13435000,15,0,4,1,1,3,1,-0.0039163713635578246,Outlier
